t,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
1,1.9488208502122824,-1.7547907174848012,19.491503953933716,1.2632849216461182,1.1719911098480225,1.1352760791778564,35.851706981658936,2.6006650924682617,OPTIMAL,OPTIMAL,1.1125337051983163e-7,5.84254077162015e-8
2,1.982557881163513,-1.833179523532198,5.540369033813477,5.497107028961182,4.666676998138428,4.680639982223511,10.762670040130615,10.71060299873352,OPTIMAL,OPTIMAL,7.165997142081736e-8,1.010236337640121e-7
3,2.033140210557757,-1.8871301265544773,12.11854100227356,12.672039985656738,13.15024709701538,13.106920957565308,26.022418975830078,26.932342052459717,OPTIMAL,OPTIMAL,9.939792452587335e-8,9.14892810933344e-8
4,2.1136215651904773,-1.9327470867409573,25.13410782814026,23.186442136764526,25.64486598968506,25.44918394088745,52.5495080947876,49.70268201828003,OPTIMAL,OPTIMAL,8.868259888823616e-8,1.1060985896202643e-7
5,2.215213503638708,-1.9833436519296999,38.5929970741272,39.818065881729126,38.928375005722046,41.87011098861694,79.0735559463501,84.00143504142761,OPTIMAL,OPTIMAL,1.0824624656415274e-7,3.946169836200542e-8
6,2.340219453896082,-2.047366903409035,56.379497051239014,58.15583801269531,62.47764706611633,60.72777605056763,120.74465203285217,120.77857279777527,OPTIMAL,OPTIMAL,3.7377956536552774e-8,5.993708159846818e-8
7,2.5000648641611587,-2.1232793558172736,79.74109601974487,83.09842991828918,96.75116610527039,103.97603416442871,178.8209309577942,189.43817400932312,OPTIMAL,OPTIMAL,8.068659236127836e-8,7.554898948647182e-8
8,2.6826405717481765,-2.215136518414846,108.91732907295227,110.67826104164124,140.1824779510498,142.99380087852478,251.85301184654236,257.79912400245667,OPTIMAL,OPTIMAL,6.062606852114018e-8,6.957926522576678e-8
9,2.8632846605864875,-2.329671202628111,138.3993239402771,141.013188123703,159.94579696655273,163.78790402412415,301.68014192581177,309.45673418045044,OPTIMAL,OPTIMAL,6.948449351023444e-8,4.271026388573157e-8
10,3.0224153650855454,-2.478620809657243,165.98493790626526,172.00900602340698,246.4836609363556,243.03854513168335,417.9312632083893,418.70245385169983,OPTIMAL,OPTIMAL,4.1846522444215633e-8,4.221904793033353e-8
11,3.1518199177700446,-2.628153994204555,206.30614495277405,209.0007209777832,275.4718940258026,279.52873706817627,486.0641131401062,494.7926790714264,OPTIMAL,OPTIMAL,3.227387174173105e-8,1.71129880338295e-8
12,3.3325379050107564,-2.7866662361240833,249.42234802246094,252.1253559589386,347.24822878837585,351.76451110839844,603.9700322151184,609.4845209121704,OPTIMAL,OPTIMAL,1.3143205821846295e-8,1.1487966665188542e-8
