t,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
1,-1.155094643191595,1.5391945070480217,2.010406017303467,1.514880895614624,1.059298038482666,1.1211678981781006,3.248210906982422,2.817521095275879,OPTIMAL,OPTIMAL,6.545324563114951e-8,5.5447365643106126e-8
2,-1.2777754438051643,1.7555381766863758,6.19417405128479,5.2635979652404785,6.2560131549835205,4.406828880310059,12.94170093536377,10.179654836654663,OPTIMAL,OPTIMAL,-3.623346890252437e-7,8.457142743709551e-8
3,-1.4111118397997735,2.023053278222107,12.345510005950928,12.44209909439087,18.98545002937317,13.438349962234497,32.63731408119202,26.929632902145386,OPTIMAL,OPTIMAL,-6.913772611886667e-8,5.877753596923192e-8
4,-1.5820877253926784,2.3672495626723116,24.02303695678711,23.468255043029785,38.64883804321289,25.188544034957886,64.34835386276245,50.11457395553589,OPTIMAL,OPTIMAL,-5.845661878513988e-7,9.938342400240138e-8
5,-1.7933420294886357,2.8257644335507663,37.70007801055908,38.89218807220459,61.08008098602295,41.12362790107727,101.10894393920898,81.87323999404907,OPTIMAL,OPTIMAL,-8.087273923738156e-7,5.8283078406005065e-8
6,-2.0453116773574984,3.433692681621494,59.01383709907532,58.59566807746887,93.4749960899353,60.24512195587158,155.01788783073425,120.69608092308044,OPTIMAL,OPTIMAL,-4.937829285667815e-7,6.986279678397871e-8
7,-2.3678835486408323,4.24958959839782,81.50716090202332,82.66355419158936,158.1571409702301,108.62522006034851,241.9214379787445,193.58545899391174,OPTIMAL,OPTIMAL,-5.702465290373889e-7,9.467776836274824e-8
8,-2.80285859066684,5.09683691441759,103.07987308502197,107.5602080821991,226.26584792137146,148.48399591445923,332.61706805229187,260.11858010292053,OPTIMAL,OPTIMAL,-8.246926900799437e-7,6.560861864012194e-8
9,-3.3756010168978845,6.012210449287499,132.77871084213257,134.48582291603088,216.95050692558289,174.16150403022766,354.46220111846924,312.38926792144775,OPTIMAL,OPTIMAL,3.7645958368648047e-8,3.933401574937926e-8
10,-4.130236227288545,7.005502549378494,165.82216119766235,173.33563208580017,293.93836092948914,270.9812591075897,464.1469430923462,448.7655291557312,OPTIMAL,OPTIMAL,2.173089791982872e-8,1.6727167180513228e-8
11,-4.948286871950374,7.695478926355657,202.13656902313232,208.29882192611694,319.6543958187103,293.9859530925751,528.0025949478149,507.95510601997375,OPTIMAL,OPTIMAL,2.3507716073550716e-8,3.180857560636646e-8
12,-5.830538903301972,8.328829222583924,246.57245898246765,245.70740485191345,398.1666340827942,354.5657060146332,650.5334320068359,604.8823759555817,OPTIMAL,OPTIMAL,2.5199121066335824e-8,1.0631467425597466e-8
