t,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
1,0.3101544108167586,0.07024437955512057,0.6345269680023193,0.4895598888397217,0.43302392959594727,0.42527198791503906,1.0777230262756348,0.927401065826416,OPTIMAL,OPTIMAL,-2.3546436816469514e-7,-5.320230416795993e-8
2,0.3026030317733687,0.11827079028320446,2.761147975921631,2.650913953781128,1.5086438655853271,1.4888927936553955,4.307386875152588,4.179161787033081,OPTIMAL,OPTIMAL,3.3653206719459723e-8,5.258601802713763e-9
3,0.2876608984275813,0.21640648964633494,6.049427032470703,6.2875449657440186,3.759913921356201,3.7393360137939453,9.886574029922485,10.102496862411499,OPTIMAL,OPTIMAL,4.951013967132503e-8,3.179718500030156e-8
4,0.27517130182621685,0.355934686856463,11.357769966125488,11.565898180007935,6.964238882064819,6.945490121841431,18.460981845855713,18.64068102836609,OPTIMAL,OPTIMAL,7.557633128358642e-8,7.425012426682988e-8
5,0.2824440318453019,0.5612365050424089,17.746155977249146,17.80227518081665,13.320755004882812,13.270080089569092,31.31869411468506,31.286231994628906,OPTIMAL,OPTIMAL,9.997468941752364e-8,6.473978697660024e-8
6,0.2921185359657854,0.8472372761717528,26.200862884521484,27.26189088821411,22.647942066192627,22.574475049972534,49.17194318771362,50.27496600151062,OPTIMAL,OPTIMAL,8.107526790599294e-8,5.848906332705527e-8
7,0.29680510849156433,1.2368595346168696,35.0434091091156,36.72304821014404,32.72059988975525,31.720975875854492,68.20188403129578,68.88661289215088,OPTIMAL,OPTIMAL,5.526124781535479e-8,6.827138173242602e-8
8,0.24393767656799492,1.6168306587664876,48.123103857040405,48.50490212440491,44.535146951675415,47.433658838272095,93.21815896034241,96.76561689376831,OPTIMAL,OPTIMAL,5.0922228852520626e-8,5.719804732166655e-8
