t,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
1,1.3035963755355537,-1.1889301144074362,2.193402051925659,1.191986083984375,1.0431630611419678,1.0876858234405518,3.428652048110962,2.477283000946045,OPTIMAL,OPTIMAL,1.0473431847176211e-7,6.741324464382499e-8
2,1.2725819795938558,-1.1956191092310149,6.618483066558838,6.150839805603027,4.582237958908081,4.5610740184783936,11.663461208343506,11.168690919876099,OPTIMAL,OPTIMAL,5.6559760513759074e-8,8.166720808459928e-8
3,1.259733061629386,-1.211613019324016,14.431484937667847,14.4635009765625,13.18506908416748,13.629862070083618,28.389662981033325,28.85027289390564,OPTIMAL,OPTIMAL,8.346669712216513e-8,5.1033863837094476e-8
4,1.2528996136117734,-1.2199359623245176,27.13510012626648,23.892295122146606,27.726616144180298,26.259697198867798,56.74457788467407,51.95613193511963,OPTIMAL,OPTIMAL,5.238028497513081e-8,5.38397888304973e-8
5,1.2561979297056511,-1.2103335607413093,38.323267221450806,40.67894411087036,39.154635190963745,39.83140015602112,79.55678200721741,82.73512005805969,OPTIMAL,OPTIMAL,5.969342229410606e-8,7.182326099750476e-8
6,1.257809037942214,-1.184088574193928,59.726869106292725,57.3234760761261,58.202970027923584,58.18357801437378,119.84570693969727,117.52223706245422,OPTIMAL,OPTIMAL,7.277228736196117e-8,7.647723822020723e-8
7,1.2475560666869445,-1.1374375331223963,81.37692284584045,81.08443689346313,104.216717004776,98.66768503189087,187.91444206237793,183.09909987449646,OPTIMAL,OPTIMAL,3.171704352747705e-8,6.076755024573585e-8
8,1.2260182859875028,-1.0816688422546095,105.28903985023499,108.23583984375,135.61866116523743,139.62800192832947,243.64437198638916,251.82740592956543,OPTIMAL,OPTIMAL,5.281704506126752e-8,6.380867007422736e-8
9,1.201545909683603,-1.0052582756012434,133.30157113075256,134.26098489761353,157.26631093025208,162.28428888320923,295.2468638420105,299.7280819416046,OPTIMAL,OPTIMAL,5.823105099340033e-8,3.4530910566134466e-8
10,1.1678256459021605,-0.8905695151676606,165.40382194519043,167.9316520690918,243.63505792617798,243.82423996925354,414.3805329799652,417.0059869289398,OPTIMAL,OPTIMAL,4.069859358258974e-8,2.735505123885401e-8
11,1.130737955392995,-0.8355290575443807,205.5159420967102,206.59399104118347,271.85534501075745,273.607115983963,483.6230709552765,484.30989599227905,OPTIMAL,OPTIMAL,2.0106408974720966e-8,3.64320204254287e-8
12,1.0514219768709026,-0.7444029349935847,244.68813705444336,249.38396501541138,347.04211020469666,346.0892870426178,597.6990308761597,601.9736490249634,OPTIMAL,OPTIMAL,1.2066780527039329e-8,1.1019808023382874e-8
