beta,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
0,190.80751037640985,294.78869628824174,0.9852008819580078,0.26297688484191895,0.412585973739624,0.37476205825805664,1.4275000095367432,0.6962418556213379,OPTIMAL,OPTIMAL,2.1275356961808594e-12,5.62332134229096e-12
1,179.38180895143233,294.78869628101654,0.23160505294799805,0.27283501625061035,0.8469510078430176,0.556689977645874,1.1218538284301758,0.8954851627349854,OPTIMAL,OPTIMAL,-1.489364853310829e-11,1.37800266551446e-12
2,131.69269136554723,294.78869627721946,0.3178369998931885,0.30060815811157227,0.9586098194122314,0.7535929679870605,1.3445749282836914,1.1085419654846191,OPTIMAL,OPTIMAL,3.425852013116643e-12,4.588421778838276e-12
3,100.74335081548489,294.7886962276378,0.3324098587036133,0.3534069061279297,1.07228422164917,0.7615089416503906,1.489574909210205,1.1849498748779297,OPTIMAL,OPTIMAL,-1.4144361985994467e-11,8.051542887560063e-12
4,86.27121244516196,294.788696286011,0.28748393058776855,0.33936381340026855,1.3292081356048584,1.0408201217651367,1.69252610206604,1.4611198902130127,OPTIMAL,OPTIMAL,-2.0057565500085762e-11,2.573149190894838e-12
5,75.10416265234875,293.9479577016975,0.27858710289001465,0.3445560932159424,1.4362800121307373,1.6377899646759033,1.804112195968628,2.1034140586853027,OPTIMAL,OPTIMAL,-4.0999759380233224e-11,5.0274315574773397e-11
6,67.68515314329679,278.55702197860404,0.2823610305786133,0.36966395378112793,1.8532490730285645,1.5703608989715576,2.243140935897827,2.127650022506714,OPTIMAL,OPTIMAL,-1.0017645615457197e-11,6.24052273412601e-11
7,66.17340569251411,269.0899603594048,0.4687461853027344,0.34330201148986816,1.974543809890747,1.9847412109375,2.561616897583008,2.475062131881714,OPTIMAL,OPTIMAL,-9.077374642326191e-12,4.602079091541261e-12
8,64.48233655679006,254.56916203541252,0.4263122081756592,0.34288883209228516,2.062922954559326,2.071786880493164,2.6623971462249756,2.5762429237365723,OPTIMAL,OPTIMAL,-1.1467123603185166e-11,-1.4652641483880737e-11
9,62.07517859605289,236.19168949138802,0.32303595542907715,0.39345598220825195,2.6160049438476562,2.580125093460083,3.1842010021209717,3.1396420001983643,OPTIMAL,OPTIMAL,3.2277559092900076e-11,2.2882240009051383e-10
10,59.91480193990528,226.31504999606844,0.3188350200653076,0.882695198059082,2.9556081295013428,3.1357200145721436,3.5934298038482666,4.197425127029419,SLOW_PROGRESS,OPTIMAL,1.6909225387453866e-11,5.092309561508736e-10
