beta,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
0,341.1440429683577,306.27734374294397,0.15571999549865723,0.22787904739379883,0.4070291519165039,0.4076871871948242,0.5910639762878418,0.6642169952392578,OPTIMAL,OPTIMAL,6.4196068011490166e-12,5.725637192543086e-12
1,341.1440429463251,306.2773437489766,0.16875290870666504,0.23646306991577148,0.8346860408782959,0.6486420631408691,1.0445678234100342,0.9424340724945068,OPTIMAL,OPTIMAL,4.678665612161822e-12,1.4744032260674916e-12
2,308.25946659673815,287.4006668775453,0.16454291343688965,0.23597311973571777,1.1559171676635742,1.263010025024414,1.4000880718231201,1.5603060722351074,OPTIMAL,OPTIMAL,2.169003601937768e-12,6.9410454340454615e-12
3,258.2227959429631,232.92560732183838,0.21939492225646973,0.2728450298309326,1.3053150177001953,1.413856029510498,1.5943288803100586,1.7518939971923828,OPTIMAL,OPTIMAL,5.325657571451134e-12,1.4807312423237993e-11
4,230.29816964089,198.95784473152455,0.21543502807617188,0.30895495414733887,1.4108130931854248,1.5011460781097412,1.721034049987793,1.8990061283111572,OPTIMAL,OPTIMAL,1.2039237003441104e-11,-1.2360696538079005e-11
5,216.16400497741853,183.24135384189125,0.2323319911956787,0.308682918548584,1.7090721130371094,1.4201548099517822,2.0749330520629883,1.8431580066680908,OPTIMAL,OPTIMAL,3.075393378028298e-11,3.398521244477456e-11
6,204.34283511551956,154.62979926596734,0.21613407135009766,0.2936279773712158,1.663923978805542,1.636152982711792,2.015484094619751,2.0318329334259033,OPTIMAL,OPTIMAL,6.672341824952765e-12,8.501146711439092e-11
7,198.03665678881174,145.78011319155502,0.2397780418395996,0.3137080669403076,2.220292091369629,1.9363460540771484,2.5860538482666016,2.380952835083008,SLOW_PROGRESS,SLOW_PROGRESS,7.567215766261086e-11,3.228275071234922e-11
8,190.35132972802856,135.57464426565045,0.25445008277893066,0.3128070831298828,2.2167320251464844,2.4465129375457764,2.624640941619873,2.9135220050811768,OPTIMAL,OPTIMAL,-3.171024497985347e-11,1.0116451786175402e-11
9,184.39211578598926,126.18614367710708,0.3339979648590088,0.3468778133392334,2.2868900299072266,2.707533121109009,2.7959508895874023,3.220615863800049,OPTIMAL,OPTIMAL,1.26616023507279e-11,3.076960611145297e-11
10,179.99161733162973,115.9852051069169,0.2614729404449463,0.3330099582672119,2.599604845046997,2.3401241302490234,3.040508985519409,2.8255598545074463,OPTIMAL,OPTIMAL,2.998030188474094e-11,2.2597493173884314e-12
