acas,spec,qnum,num_queries,time,status,eigmax
ACASXU_run2a_1_1_batch_2000.onnx,prop_5.vnnlib,1,4,329.31537795066833,SLOW_PROGRESS,7.13267301188891e-6
ACASXU_run2a_1_1_batch_2000.onnx,prop_5.vnnlib,2,4,414.2003619670868,SLOW_PROGRESS,1.2751335196413454e-6
ACASXU_run2a_1_1_batch_2000.onnx,prop_5.vnnlib,3,4,310.7379870414734,SLOW_PROGRESS,9.853217891261527e-7
ACASXU_run2a_1_1_batch_2000.onnx,prop_5.vnnlib,4,4,387.8557929992676,SLOW_PROGRESS,1.903984741999797e-6
ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,1,8,270.5369439125061,SLOW_PROGRESS,2.4493946156960503e-5
ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,2,8,258.220134973526,SLOW_PROGRESS,1.978535544643e-5
ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,3,8,336.92797803878784,SLOW_PROGRESS,6.255980264964389e-5
ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,4,8,345.9880459308624,SLOW_PROGRESS,8.195396317611294e-5
ACASXU_run2a_1_1_batch_2000.onnx,prop_6.vnnlib,5,8,356.7125520706177,SLOW_PROGRESS,0.11553388736904661
ACASXU_run2a_1_9_batch_2000.onnx,prop_7.vnnlib,1,6,358.6343011856079,SLOW_PROGRESS,0.00019440896135727013
ACASXU_run2a_1_9_batch_2000.onnx,prop_7.vnnlib,2,6,310.77197909355164,SLOW_PROGRESS,4.318163171881462e-5
ACASXU_run2a_2_9_batch_2000.onnx,prop_8.vnnlib,1,6,307.4290668964386,SLOW_PROGRESS,0.0005649876559548499
ACASXU_run2a_2_9_batch_2000.onnx,prop_8.vnnlib,2,6,265.3412230014801,SLOW_PROGRESS,0.0005800939109105794
ACASXU_run2a_3_3_batch_2000.onnx,prop_9.vnnlib,1,4,382.30488896369934,SLOW_PROGRESS,0.00021844817988470345
ACASXU_run2a_3_3_batch_2000.onnx,prop_9.vnnlib,2,4,368.63878107070923,SLOW_PROGRESS,3.071680832353273e-6
ACASXU_run2a_3_3_batch_2000.onnx,prop_9.vnnlib,3,4,339.8154458999634,SLOW_PROGRESS,0.00020927197949535605
ACASXU_run2a_3_3_batch_2000.onnx,prop_9.vnnlib,4,4,342.43189907073975,SLOW_PROGRESS,0.000195965796545523
ACASXU_run2a_4_5_batch_2000.onnx,prop_10.vnnlib,1,4,261.85360503196716,SLOW_PROGRESS,1.762414251757767e-5
ACASXU_run2a_4_5_batch_2000.onnx,prop_10.vnnlib,2,4,259.74800515174866,SLOW_PROGRESS,1.473867874730446e-5
ACASXU_run2a_4_5_batch_2000.onnx,prop_10.vnnlib,3,4,245.47068095207214,SLOW_PROGRESS,1.7284034932635614e-5
ACASXU_run2a_4_5_batch_2000.onnx,prop_10.vnnlib,4,4,251.30236887931824,SLOW_PROGRESS,1.3974046644299402e-5
