beta,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
0,476.449798584271,375.3944091794653,0.17456698417663574,0.24098491668701172,0.44192004203796387,0.4345271587371826,0.6695380210876465,0.7300660610198975,OPTIMAL,OPTIMAL,7.461644202230603e-13,1.1925040458369647e-12
1,476.4497985819193,367.37993763299346,0.17684102058410645,0.23995304107666016,0.6746609210968018,1.105726957321167,0.9184978008270264,1.3941340446472168,OPTIMAL,OPTIMAL,3.6798317517217784e-13,3.761449635379708e-11
2,476.44979858579916,326.37576047203646,0.18228387832641602,0.24779796600341797,0.7297699451446533,1.0724680423736572,0.9900760650634766,1.4008209705352783,OPTIMAL,OPTIMAL,5.885642116542002e-13,1.8005060592553523e-12
3,434.4889701798976,300.83920037854034,0.18838906288146973,0.25348615646362305,1.3088338375091553,1.7375669479370117,1.6058528423309326,2.082213878631592,OPTIMAL,OPTIMAL,-1.6095731698269996e-11,-6.4110120730759364e-12
4,404.37255850923896,275.04408209051996,0.23223495483398438,0.3169090747833252,1.4423291683197021,1.6426680088043213,1.7594828605651855,2.059612989425659,OPTIMAL,OPTIMAL,-6.70236284135664e-12,1.018118414983155e-10
5,383.9725317669176,251.78186933918448,0.2780880928039551,0.2832629680633545,1.4900810718536377,1.5951950550079346,1.9014718532562256,2.002164840698242,OPTIMAL,OPTIMAL,1.60175688862232e-11,1.8282798868400677e-12
6,344.8713668556893,231.28045905347238,0.24319005012512207,0.33475804328918457,1.374427080154419,1.574505090713501,1.7205471992492676,2.034313917160034,OPTIMAL,OPTIMAL,-2.038201677436042e-11,-2.3598278689373546e-12
7,319.0660668617663,214.2826286612451,0.2585489749908447,0.3309788703918457,2.231158971786499,1.863887071609497,2.6298978328704834,2.3180480003356934,OPTIMAL,OPTIMAL,6.3089335259722404e-12,1.717543758154445e-11
8,299.78403022188434,206.76380163943892,0.29171180725097656,0.3864610195159912,1.9006080627441406,2.363010883331299,2.329616069793701,3.0316109657287598,OPTIMAL,OPTIMAL,1.3883857352104955e-11,2.2625141551617914e-12
9,280.7919083445799,197.92293961484788,0.5258901119232178,0.3261291980743408,2.4681999683380127,2.4506640434265137,3.161799907684326,2.9607200622558594,OPTIMAL,OPTIMAL,-9.905924207420886e-11,5.272772653258542e-11
10,264.002491162418,183.53891540543356,0.2536759376525879,0.35277700424194336,2.331531047821045,2.9957900047302246,2.760511875152588,3.5145339965820312,OPTIMAL,OPTIMAL,-2.6659886053988996e-10,3.916094592432734e-12
