beta,setup_secs,solve_secs,total_secs,obj_val,term_status,eigmax
0,5.122546911239624,34.38613295555115,40.341439962387085,0.09151436482595422,OPTIMAL,1.7261620020938226e-6
1,5.701647043228149,41.339340925216675,48.50476408004761,0.0913242604537291,OPTIMAL,2.8364557430762515e-6
2,4.691288948059082,43.022083044052124,48.85872507095337,0.0913039303519351,OPTIMAL,2.0373360070090165e-6
3,4.854082107543945,48.28609085083008,54.32090401649475,0.09121251095318104,OPTIMAL,1.085182505019578e-6
4,4.973859071731567,50.835766077041626,57.10737609863281,0.09120500419459314,OPTIMAL,2.2991886963253026e-6
5,5.11522102355957,58.17154788970947,64.54498481750488,0.09117381029452452,OPTIMAL,1.3791809029437449e-6
6,5.251523017883301,58.551854848861694,65.11797595024109,0.09109934390514071,OPTIMAL,1.3941945292535882e-6
7,5.2132158279418945,118.24216198921204,124.86698889732361,0.09101288799243884,OPTIMAL,2.3342451750384914e-6
