beta,setup_secs,solve_secs,total_secs,obj_val,term_status,eigmax
0,11.32016897201538,12.750110149383545,24.590112924575806,0.02717305485812067,OPTIMAL,5.741305827975946e-7
1,11.57200002670288,22.016748189926147,34.270971059799194,0.02704173475229539,OPTIMAL,5.084803711669597e-7
2,10.751107931137085,31.80167317390442,43.33990693092346,0.02707545449107133,OPTIMAL,6.010409917486088e-7
3,12.04441499710083,41.14277195930481,53.95732402801514,0.027020269071992755,OPTIMAL,3.634823991091684e-7
4,10.905282974243164,51.226743936538696,63.49534201622009,0.027086479656337897,OPTIMAL,7.883607976311581e-7
5,11.765673875808716,62.56910800933838,75.86930418014526,0.02699640772516275,OPTIMAL,4.0141905071286044e-7
6,11.765580892562866,70.44783306121826,83.81284594535828,0.0270470151447783,OPTIMAL,7.438753653951617e-7
7,12.148451089859009,84.65043497085571,98.3000340461731,0.02705728496069379,OPTIMAL,8.285171444853943e-7
