beta,setup_secs,solve_secs,total_secs,obj_val,term_status,eigmax
0,4.735019207000732,5.279504060745239,10.231210947036743,0.09163577675590459,OPTIMAL,6.797088275720496e-7
1,4.442950010299683,8.78587818145752,13.51388692855835,0.09148780877256181,OPTIMAL,7.792909201929537e-7
2,4.347381114959717,11.9093599319458,16.729745149612427,0.09148570333170988,OPTIMAL,8.112799888284854e-7
3,4.5097949504852295,18.16809105873108,23.556710958480835,0.09135452805070655,OPTIMAL,4.823370042976128e-7
4,4.740746974945068,24.646465063095093,30.267948150634766,0.09131779295146793,OPTIMAL,4.19000972382024e-7
5,5.198508977890015,25.85038709640503,32.06626510620117,0.09130455368260242,OPTIMAL,4.304277641742073e-7
6,5.3021039962768555,32.08881187438965,38.53422212600708,0.0912795974501899,OPTIMAL,5.592783654720085e-7
7,5.477164030075073,35.17398285865784,41.8619589805603,0.09121548381615295,OPTIMAL,4.996575330832687e-7
