t,l2gain_squared,setup_secs,solve_secs,total_secs,term_status,eigmax
1,6.841422694132283,14.274614810943604,0.4366309642791748,29.75293207168579,OPTIMAL,-4.6906280086915706e-7
2,6.192859433696933,2.514525890350342,1.6908230781555176,4.278151988983154,OPTIMAL,2.495561299921098e-9
3,6.51447008027922,5.9686119556427,4.1518940925598145,10.205888032913208,OPTIMAL,6.05516852927345e-9
4,7.109243481878278,11.31675386428833,7.618334054946899,19.07779884338379,OPTIMAL,6.600005264810607e-8
5,7.814798980599318,16.47392702102661,13.851933002471924,30.55738091468811,OPTIMAL,4.884298593704413e-8
