t,l2gain_squared,setup_secs,solve_secs,total_secs,term_status,eigmax
1,6.149753467898413,1.8273570537567139,1.1148319244384766,3.076068162918091,OPTIMAL,5.184594437922554e-8
2,5.929465124843146,5.014920949935913,4.859839916229248,10.324851036071777,OPTIMAL,8.396538762312677e-8
3,6.384959897643008,12.338567972183228,11.891372919082642,25.486018896102905,OPTIMAL,7.698014882909639e-8
4,7.009862313024131,25.154407024383545,24.405924797058105,51.00965690612793,OPTIMAL,4.883625229789376e-8
5,7.746127654539763,40.235198974609375,55.73011493682861,97.25627303123474,OPTIMAL,7.522997121969858e-8
