t,l2gain_squared,setup_secs,solve_secs,total_secs,term_status,eigmax
1,6.149749666018678,1.070000171661377,0.16887593269348145,1.3377950191497803,OPTIMAL,9.454918897407852e-15
2,5.929458228833405,0.591627836227417,0.5222508907318115,1.2391819953918457,OPTIMAL,5.593134658636903e-15
3,6.384950477524496,1.5970509052276611,1.2413089275360107,2.9092020988464355,OPTIMAL,9.38248930267671e-15
4,7.009853860394464,2.7685909271240234,2.622361898422241,5.538061141967773,OPTIMAL,1.9053750735496425e-15
5,7.746112833431931,4.7915568351745605,4.585013151168823,9.600579023361206,OPTIMAL,5.9032102358357105e-15
