t,l2gain_squared,setup_secs,solve_secs,total_secs,term_status,eigmax
1,6.79583511999054,1.5209729671478271,1.532395839691162,3.1481809616088867,OPTIMAL,3.4615584782264576e-8
2,6.185150006868305,4.804732084274292,6.608728885650635,11.727852821350098,OPTIMAL,-1.1818063419556534e-7
3,6.509147298334601,10.263556957244873,15.626796007156372,26.837344884872437,OPTIMAL,6.443162384007179e-8
4,7.107337323727546,19.26612091064453,30.080660104751587,50.69890999794006,OPTIMAL,9.536378292832511e-9
5,7.813455977913012,32.435462951660156,64.67742395401001,98.6027238368988,OPTIMAL,-6.6415945690838e-8
