beta,l2gain_squared,setup_secs,solve_secs,total_secs,term_status,eigmax
0,1.5298357915744314,24.244221210479736,70.39064502716064,101.93082189559937,OPTIMAL,1.671337000030872e-6
1,1.5265833113763871,8.611313104629517,111.10012984275818,120.6582260131836,OPTIMAL,1.5050958346324032e-6
2,1.5211349571123542,6.617124080657959,109.0694830417633,116.58334398269653,OPTIMAL,3.196348350579915e-7
3,1.5178909692408904,6.54570198059082,124.97073888778687,132.46274089813232,OPTIMAL,1.086975644971787e-6
4,1.5165678225567798,6.187485933303833,119.47157716751099,126.89190196990967,OPTIMAL,2.622077644104958e-6
