beta,l2gain_squared,setup_secs,solve_secs,total_secs,term_status,eigmax
0,1.0578850088248375e-11,14.021904945373535,217.47727704048157,233.1064579486847,SLOW_PROGRESS,0.6695770208315979
1,1.3755507813073786e-11,14.745630025863647,289.7064549922943,306.6428349018097,SLOW_PROGRESS,0.6693896016939378
2,3.104903512325401,13.606333017349243,203.30230808258057,218.9923870563507,SLOW_PROGRESS,35.168976113739305
