beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,2.682641143486319,99.09868216514587,2303.6499979496,2412.311595916748,OPTIMAL,4.052897175313851e-6
1,2.682642925463412,107.2148220539093,2479.25559592247,2595.299619913101,OPTIMAL,3.091785761511044e-6
2,2.682646863128008,107.03970384597778,2725.639727115631,2842.097284078598,OPTIMAL,5.193157400174631e-6
3,2.6826414311608513,107.8647530078888,2535.337244987488,2653.059890985489,OPTIMAL,3.714612992726537e-6
4,2.682640134179436,108.40937995910645,2664.586349964142,2783.121885061264,OPTIMAL,4.773167259466301e-6
