beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,6.3894657238913295,930.0732209682465,3274.6476621627808,4224.918974876404,OPTIMAL,1.8636563022438432e-8
1,6.389465476461966,1072.8162169456482,4665.235505104065,5759.719570875168,OPTIMAL,2.4987025329195727e-8
2,6.389465699006005,1060.1701910495758,6246.535423994064,7329.541325092316,OPTIMAL,2.1838528405640574e-8
3,6.389465552824011,1091.4894979000092,8916.829670906067,10036.294277906418,OPTIMAL,2.3851659319200953e-8
4,6.389465534436429,1076.2698938846588,10846.13988494873,11948.46650314331,TIME_LIMIT,2.1158490315491782e-8
