beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,3.853879908263279,398.4997489452362,691.0943410396576,1116.3326239585876,OPTIMAL,5.1664456181094505e-6
1,3.8539253609466493,403.3934121131897,944.5141589641571,1377.6941168308258,OPTIMAL,2.4459548200670596e-6
2,3.853881316556765,380.04095911979675,784.9708070755005,1195.9305651187897,OPTIMAL,6.417261697418743e-6
3,3.853954921205572,413.32524013519287,938.7939648628235,1381.0253639221191,OPTIMAL,1.5744821820535396e-6
4,3.853934232782316,416.26025199890137,1061.6555349826813,1509.6107161045074,OPTIMAL,3.748167023279511e-6
