beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,3.0224153650855454,158.01691913604736,247.039635181427,409.1774480342865,OPTIMAL,4.1846522444215633e-8
1,3.0224152426318915,169.55649495124817,402.83533811569214,578.124223947525,OPTIMAL,3.882813236203258e-8
2,3.0224147122785197,167.17891597747803,575.1487188339233,749.0564429759979,OPTIMAL,2.272765273492773e-8
3,3.0224149969343572,168.75724697113037,810.91130900383,987.0955839157104,OPTIMAL,3.134402625011442e-8
4,3.0224150209676726,174.79126501083374,1077.317461013794,1259.6812109947205,OPTIMAL,3.2398253499855584e-8
