beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,4.183177879317143,835.4124331474304,1392.391804933548,2301.8951370716095,OPTIMAL,1.74083020719387e-6
1,4.183174060895862,1051.5623350143433,1658.1015040874481,2861.0214829444885,OPTIMAL,2.07514821450899e-6
2,4.182825619429384,1056.4382491111755,1568.6119890213013,2785.9148058891296,OPTIMAL,6.3773873047757075e-6
3,4.183189887967729,1061.3689930438995,1705.2181911468506,2920.190810918808,OPTIMAL,1.5354125371333717e-6
4,4.183105450519509,1112.2908208370209,2024.9399409294128,3290.780597925186,OPTIMAL,3.0289823952738186e-6
