t,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
1,2.1377901502620755,-1.9676329654966107,0.6640198230743408,0.7648298740386963,35.11836385726929,34.56161093711853,36.11625695228577,35.49724721908569,OPTIMAL,OPTIMAL,5.047363770652077e-7,1.493762836685263e-6
2,2.1775955921461385,-2.060572908631878,3.4145069122314453,3.4844698905944824,82.51419591903687,82.17350316047668,86.4101049900055,86.29897618293762,OPTIMAL,OPTIMAL,2.115554228061248e-6,8.016681736802294e-7
3,2.206685578115499,-2.1243891173068867,8.064481019973755,8.242881059646606,119.76542210578918,125.4055860042572,128.76814889907837,134.59806299209595,OPTIMAL,OPTIMAL,1.4232643082699106e-6,6.126544239874975e-7
4,2.2324202149248036,-2.171244467436593,15.459223985671997,15.379090070724487,163.05145812034607,167.21436285972595,180.04035115242004,184.8657009601593,OPTIMAL,OPTIMAL,7.830609734088868e-7,1.9481298995438813e-6
5,2.267607946916373,-2.2068630579527317,21.217221975326538,21.571014881134033,199.76468920707703,199.91545391082764,224.21718001365662,224.07846808433533,OPTIMAL,OPTIMAL,2.4676445973016223e-6,3.0011609128771626e-6
6,2.3195900490109165,-2.224119942490572,31.39285707473755,30.91417098045349,239.45161700248718,239.55362606048584,275.1378219127655,274.42665696144104,OPTIMAL,OPTIMAL,1.0684865057263935e-6,1.6509913234898145e-6
7,2.3896290112105323,-2.250591549616572,42.71725797653198,42.043631076812744,298.4231131076813,269.4949748516083,346.61388087272644,316.6032860279083,OPTIMAL,OPTIMAL,6.059731300657444e-7,3.6570755289983967e-6
8,2.490036970154878,-2.293944582954421,57.78300189971924,58.7790310382843,336.733186006546,333.4721989631653,400.10990595817566,398.1217420101166,OPTIMAL,OPTIMAL,3.967033396112681e-6,3.322540583743638e-6
