t,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
1,1.3999870232885536,-1.2533445242684031,2.2659380435943604,0.8625359535217285,38.27430295944214,35.66766285896301,40.750922203063965,36.738399028778076,OPTIMAL,OPTIMAL,1.999555654637337e-6,3.438318122589134e-7
2,1.3875866658429543,-1.2749865837563252,3.33042311668396,3.150312900543213,87.53002095222473,87.5430908203125,91.49651098251343,91.25603199005127,OPTIMAL,OPTIMAL,2.103087365437751e-6,5.356351697981648e-7
3,1.3685231991937723,-1.271590516811826,7.2494330406188965,7.690233945846558,123.6600649356842,134.63312792778015,132.44271898269653,143.56243205070496,OPTIMAL,OPTIMAL,1.9439459084817684e-6,6.7737879517856e-7
4,1.3456376103964058,-1.2378661112498883,14.250056982040405,14.301594972610474,173.91935515403748,161.6324920654297,190.38656902313232,178.08723402023315,OPTIMAL,OPTIMAL,8.655581696768501e-7,1.2396134720375887e-6
5,1.3155497645817356,-1.1626793103033135,22.695250034332275,22.149542093276978,213.52074599266052,210.58297395706177,239.50486707687378,235.52150702476501,OPTIMAL,OPTIMAL,1.7861529004409376e-6,2.2763042114903794e-6
6,1.2881143418421548,-1.102707371097399,32.81420707702637,32.70599579811096,269.4564211368561,264.3299238681793,306.8409860134125,300.63139510154724,OPTIMAL,OPTIMAL,3.3265646501770285e-6,2.8065540820007492e-6
7,1.221270626185692,-1.0221134088669759,44.28084588050842,43.5728759765625,308.6573851108551,287.8555588722229,358.539528131485,336.6622688770294,OPTIMAL,OPTIMAL,8.037063702388122e-7,3.699396619480656e-6
8,1.145400956499293,-0.9036969825553894,59.700103998184204,58.531415939331055,359.0191149711609,348.10460901260376,425.68138694763184,413.07314705848694,OPTIMAL,OPTIMAL,2.832183168958031e-6,2.771244407965259e-6
