t,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
1,2.137857883195693,-1.9676921744283984,6.767248153686523,0.5409829616546631,31.673606872558594,34.11779499053955,40.33821702003479,34.84343886375427,OPTIMAL,OPTIMAL,1.8248523954610848e-6,3.673398654089152e-7
2,2.1775228567850267,-2.060528982431827,3.181828022003174,2.9695301055908203,77.95549821853638,76.73037004470825,81.83502292633057,80.21618700027466,OPTIMAL,OPTIMAL,5.439886189612723e-7,1.7132827038345759e-6
3,2.206778188690964,-2.1242684777159795,7.103429079055786,7.218105792999268,115.21591901779175,114.45270490646362,123.36783289909363,122.7278618812561,OPTIMAL,OPTIMAL,3.0321808634985772e-6,2.805681034090515e-6
4,2.2323956214143186,-2.1712798206561184,13.230785846710205,13.278388977050781,146.93283009529114,146.6208050251007,162.1041660308838,161.9061529636383,OPTIMAL,OPTIMAL,4.21970904697756e-7,1.3230583202286685e-6
5,2.2676779791002115,-2.2069743700128583,21.839112997055054,20.852022886276245,183.03191995620728,178.79024696350098,207.6473479270935,202.64014101028442,OPTIMAL,OPTIMAL,3.4288363591965493e-6,1.030699471731375e-6
6,2.319627615175841,-2.2240573739041407,30.82161784172058,30.345518112182617,215.31784796714783,212.46419095993042,249.81556606292725,246.41692399978638,OPTIMAL,OPTIMAL,2.0391523496564964e-6,3.267444358256343e-6
7,2.389632572727505,-2.2505924130561707,41.69571399688721,40.77779793739319,251.92719912528992,239.86590790748596,298.8666729927063,285.8578579425812,OPTIMAL,OPTIMAL,7.218345568580747e-7,3.551132671160585e-6
8,2.4899942480029438,-2.293932262354997,54.066246032714844,57.226726055145264,287.1872658729553,285.6114110946655,347.76928997039795,348.3599419593811,OPTIMAL,OPTIMAL,9.770955722694733e-7,4.162645248419884e-6
