t,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
1,-1.0450342981328733,1.4521896228778157,1.0697119235992432,0.8128190040588379,38.60510993003845,35.49175786972046,40.03651285171509,36.48552203178406,OPTIMAL,OPTIMAL,-2.845441749014307e-7,1.6998990615163702e-6
2,-1.1905202924177805,1.6601549356745438,3.5003910064697266,3.5521740913391113,86.12457609176636,85.36219692230225,90.26504778862,89.71056795120239,OPTIMAL,OPTIMAL,9.995178672738538e-7,2.7397010109297193e-6
3,-1.369621842570563,1.923881929468636,8.412135124206543,8.35418701171875,133.93982887268066,123.78220391273499,143.64617705345154,133.41172289848328,OPTIMAL,OPTIMAL,5.837740948786612e-7,2.568486917704948e-6
4,-1.5789495129843756,2.235185724229771,15.76245903968811,13.608850955963135,182.7907199859619,172.23642086982727,200.4335958957672,187.98992705345154,OPTIMAL,OPTIMAL,6.815435553158445e-7,2.11325192661628e-6
5,-1.8244937192002624,2.6583163496253155,22.233446836471558,21.998948097229004,230.5461139678955,212.9894459247589,255.53531789779663,238.05575609207153,OPTIMAL,OPTIMAL,4.449182525929424e-7,1.2791300411496036e-6
6,-2.109921041751987,3.1991098031465928,31.872096061706543,32.77423906326294,289.41223406791687,275.5310380458832,325.73753094673157,311.89841198921204,OPTIMAL,OPTIMAL,2.7536449598825864e-7,1.2637156576850815e-6
7,-2.473507996847066,3.8819295006606453,43.980103969573975,44.686870098114014,349.5814528465271,336.8590261936188,399.1467559337616,386.8596270084381,OPTIMAL,OPTIMAL,4.4363980614222547e-7,3.4819740281934103e-6
8,-2.95931132370427,4.7285063484637275,59.3309690952301,61.54952120780945,391.9251182079315,419.9906499385834,458.1944069862366,487.6921970844269,OPTIMAL,OPTIMAL,1.0228086630034622e-6,2.308847202055868e-6
