beta,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
0,-1.41111183157583,2.0230532782296993,11.77168607711792,13.450626850128174,19.57227087020874,14.192443132400513,32.56584191322327,28.50406789779663,OPTIMAL,OPTIMAL,-6.913905777359904e-8,5.877755443222775e-8
1,-1.4150516943775597,2.023053505246454,12.604155778884888,12.634646892547607,38.18222188949585,24.863908052444458,52.21107196807861,38.97689080238342,OPTIMAL,OPTIMAL,-1.1939210799661217e-7,7.579328132021293e-8
2,-1.4228753000303558,2.0230534749873015,12.981036901473999,12.94037914276123,46.95920515060425,31.572422981262207,61.58574891090393,45.69184494018555,OPTIMAL,OPTIMAL,-3.235603325014747e-7,6.741830583385962e-8
3,-1.426708090508582,2.023053014309269,14.261996984481812,13.18813180923462,65.52093505859375,52.3987340927124,81.34884285926819,67.33595681190491,OPTIMAL,OPTIMAL,-1.7925228570155562e-8,3.746734540470582e-8
4,-1.4279805382287452,2.0230532759760904,13.233520030975342,13.376566171646118,86.60180497169495,66.96926307678223,101.91852593421936,82.33080911636353,OPTIMAL,OPTIMAL,2.2511308369001517e-8,5.664123282016714e-8
5,-1.4614938548053937,2.0230526736052794,14.068562984466553,13.913999080657959,84.57892918586731,71.51478004455566,100.7761778831482,87.53821396827698,OPTIMAL,OPTIMAL,-2.580015998010455e-7,6.003271024887129e-8
6,-1.4918539237993278,2.023051249055113,14.224012851715088,13.85444188117981,105.79378008842468,102.64002990722656,122.3580801486969,118.789391040802,OPTIMAL,OPTIMAL,-2.7733957743788276e-7,6.872683109862077e-8
7,-1.497352692381219,2.023045243123748,13.94011902809143,13.901240825653076,127.76029706001282,126.23585486412048,144.1979660987854,142.6847870349884,OPTIMAL,OPTIMAL,-2.206736647780364e-7,8.343491160717042e-8
8,-1.4994323399864256,2.023044768949476,14.18636417388916,15.019777059555054,158.19676113128662,141.56239795684814,175.10162806510925,159.38086605072021,OPTIMAL,OPTIMAL,-2.297681703599041e-7,9.826620080923328e-8
9,-1.502311285108138,2.0230435855539968,15.032133102416992,14.671588897705078,182.41621899604797,145.9657039642334,200.31745100021362,163.439768075943,OPTIMAL,OPTIMAL,-8.700385517975477e-8,8.063431011912144e-8
10,-1.5047317883406488,2.0230335557408856,14.876746892929077,14.957518100738525,204.3752031326294,182.61587810516357,222.24818992614746,200.6404218673706,OPTIMAL,OPTIMAL,-9.294346273188059e-8,1.0606487787847054e-7
