beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,3.5867759856483374,346.11483097076416,649.5483269691467,1019.5233960151672,OPTIMAL,5.4877702546916415e-6
1,3.586800976268276,342.2163939476013,749.7010509967804,1118.4722549915314,OPTIMAL,3.6633643394633743e-6
2,3.5867795001862435,354.7330000400543,759.6920211315155,1142.2478110790253,OPTIMAL,6.444721612556728e-6
3,3.586788178167965,365.16647696495056,871.3536970615387,1264.132653951645,OPTIMAL,6.332472368903156e-6
4,3.586810872435269,361.19444513320923,1063.0223639011383,1451.7768020629883,OPTIMAL,3.63790240252562e-6
