t,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
1,0.8135512486132476,0.0340731143951416,0.1592998504638672,0.20763897895812988,OPTIMAL,6.812203416414063e-7
2,0.8782555230539559,0.1632990837097168,0.37188005447387695,0.5740821361541748,OPTIMAL,5.785081209089424e-7
3,0.9379533893367138,0.4237699508666992,0.5179181098937988,1.0162239074707031,OPTIMAL,3.00042522613303e-6
4,1.0005420028385899,0.6847841739654541,0.6573619842529297,1.512294054031372,OPTIMAL,3.078038977763034e-6
5,1.0663059755474986,1.7360098361968994,0.7818808555603027,2.7189130783081055,OPTIMAL,3.1233006852294562e-6
6,1.1354131155121263,1.3129949569702148,0.9215688705444336,2.884035110473633,OPTIMAL,7.12496670148413e-7
7,1.208005933105528,2.678950071334839,1.1126708984375,4.189502954483032,OPTIMAL,1.0001298395073269e-6
8,1.284257649335544,3.3194570541381836,1.1261169910430908,4.978101015090942,OPTIMAL,1.5451732174764918e-6
9,1.3643971810647106,4.311448812484741,1.4255318641662598,6.305323123931885,OPTIMAL,5.308126213668534e-7
10,1.4436986951258857,4.779422998428345,1.5028760433197021,7.017898082733154,OPTIMAL,1.8620034430646718e-6
11,1.5224053423312407,5.502125024795532,1.658026933670044,8.07476806640625,OPTIMAL,3.3430838304015498e-6
12,1.6020900018321957,6.6731791496276855,2.035658121109009,10.039366006851196,OPTIMAL,2.7580383681930997e-6
13,1.6823054076630373,8.17129111289978,2.365995168685913,11.789525032043457,OPTIMAL,2.1543094839018644e-6
14,1.7631667027924147,10.11357307434082,2.5852110385894775,14.219141960144043,OPTIMAL,1.842046773222475e-6
15,1.8445058724858687,10.962800979614258,2.860403060913086,16.15171980857849,OPTIMAL,1.1914728431777674e-6
16,1.9264775855635015,11.370711088180542,2.777759075164795,16.613497018814087,OPTIMAL,3.0632312314445776e-6
17,2.0090437678749185,13.961786985397339,3.039875030517578,19.178189992904663,OPTIMAL,2.2354383481029382e-6
18,2.0921600281851003,15.650442123413086,3.2111330032348633,20.766345024108887,OPTIMAL,2.159473230556415e-6
19,2.175823842798583,18.756722927093506,3.622783899307251,25.971304893493652,OPTIMAL,1.7814022701179275e-6
20,2.2601014712091705,19.92381191253662,3.8411781787872314,26.281084060668945,OPTIMAL,1.7906873935187069e-6
21,2.345109638709893,21.86114192008972,4.155198097229004,30.19421696662903,OPTIMAL,3.038690076794031e-6
22,2.430650148023376,23.929504871368408,4.554839134216309,32.908029079437256,OPTIMAL,2.626330814015542e-6
23,2.5168054682268606,26.38991093635559,4.611230850219727,35.393378019332886,OPTIMAL,1.8812424628496833e-6
24,2.603499137726984,28.162171125411987,4.768125057220459,37.23946404457092,OPTIMAL,2.5179206350827022e-6
25,2.690945173402672,33.17970681190491,5.086673974990845,42.91159987449646,OPTIMAL,1.2915088856389786e-6
26,2.7787783347396804,33.62470483779907,5.3794050216674805,43.959676027297974,OPTIMAL,4.080019723228784e-6
27,2.8674631118547538,37.97259593009949,5.809739112854004,50.31297302246094,OPTIMAL,2.8214206324554717e-6
28,2.95663802961722,39.33389592170715,6.225312948226929,50.34512495994568,OPTIMAL,3.6880730846255703e-6
29,3.046557197784124,42.40540099143982,6.259180068969727,54.75636386871338,OPTIMAL,2.9802465280721186e-6
30,3.137116722970858,46.25094199180603,6.555837154388428,59.629830837249756,OPTIMAL,2.490008299434116e-6
