beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,0.878265906117035,0.1450960636138916,0.9502010345458984,1.1302289962768555,OPTIMAL,2.2250489214079723e-6
1,0.878262603608498,0.1209559440612793,1.189594030380249,1.3538570404052734,OPTIMAL,2.2499141226304657e-6
2,0.8782608322971387,0.1682291030883789,1.2602510452270508,1.4687349796295166,OPTIMAL,1.8166499716136555e-6
3,0.878256965026058,0.16992902755737305,1.4077200889587402,1.6228578090667725,OPTIMAL,1.2632813656962637e-6
4,0.8782560880781128,0.18227291107177734,1.5687658786773682,1.8001739978790283,OPTIMAL,1.1414175171967667e-6
