beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,3.8099540693178895,670.7717549800873,1501.3667709827423,2184.984437942505,OPTIMAL,1.4570676617524982e-8
1,3.8099539357277354,667.130040884018,2240.103108882904,2921.068634033203,OPTIMAL,1.1580061119940012e-8
2,3.8099541082375317,692.9645898342133,2942.091656923294,3650.2580218315125,OPTIMAL,2.2159644469809663e-8
3,3.809953992704397,682.960198879242,4191.711973905563,4890.714923858643,OPTIMAL,5.779151782118658e-9
4,3.8099539803984106,695.9885079860687,5230.015736103058,5943.112550020218,OPTIMAL,8.397137725784488e-9
