t,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
1,1.9488322361860293,2.244922161102295,108.66143298149109,111.1634910106659,OPTIMAL,4.534321804790733e-7
2,1.9825813491694788,6.017096996307373,409.168909072876,416.09360909461975,OPTIMAL,8.28008027374441e-7
3,2.0331481345571047,13.951188802719116,647.9676909446716,663.9500269889832,OPTIMAL,4.961242534065249e-7
4,2.113655706185387,26.139026165008545,948.5909268856049,977.6476008892059,OPTIMAL,1.921258816449152e-6
5,2.215219956484898,43.23099994659424,1173.8604691028595,1221.7169828414917,OPTIMAL,8.136790682988066e-7
6,2.3402261004319884,64.34398698806763,1574.46005320549,1644.7639827728271,OPTIMAL,8.229914740985626e-7
7,2.5000856932943796,86.31350803375244,1846.1106669902802,1940.9860639572144,OPTIMAL,3.9435938766325465e-6
8,2.6826414200079096,110.97276902198792,2297.352523803711,2417.7824079990387,OPTIMAL,4.040230950553895e-6
9,2.863276342612732,142.00728297233582,2625.5786550045013,2778.925626039505,OPTIMAL,2.8284986166398014e-6
10,3.022396014794212,177.4260549545288,2982.9042348861694,3174.4049389362335,OPTIMAL,5.335203941525785e-6
