beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,0.8135450409125411,0.030208826065063477,0.05600094795227051,0.09888100624084473,OPTIMAL,7.846465312986682e-8
1,0.813545254285088,0.07072687149047852,0.06898713111877441,0.15229511260986328,OPTIMAL,8.952189910098092e-8
2,0.8135445215292775,0.03997492790222168,0.09150815010070801,0.1756889820098877,OPTIMAL,5.5388842181464246e-8
3,0.8135444082985538,0.03548789024353027,0.10445904731750488,0.16222691535949707,OPTIMAL,4.7258427346313774e-8
4,0.8135448556897774,0.07663488388061523,0.12383484840393066,0.22260308265686035,OPTIMAL,7.891114841659734e-8
