beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,2.113661306918726,24.630826950073242,180.5677947998047,207.84749507904053,OPTIMAL,2.025340900563256e-6
1,2.1136858746535405,23.231075048446655,189.46876192092896,216.0360610485077,OPTIMAL,3.235696481704798e-6
2,2.1136808420225184,22.886250019073486,200.47304105758667,226.22174787521362,OPTIMAL,3.0038488735739738e-6
3,2.1136505102846233,23.788985013961792,215.96407890319824,242.6572229862213,OPTIMAL,1.6817634746013294e-6
4,2.1136343214950046,26.908951997756958,227.6155219078064,257.77517104148865,OPTIMAL,9.008312621529589e-7
