beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,3.1518199177700446,192.82863807678223,267.98011898994446,464.7557818889618,OPTIMAL,3.227387174173105e-8
1,3.151819459557099,202.93963384628296,568.0601170063019,776.5927031040192,OPTIMAL,2.0176512094954325e-8
2,3.151819962979443,198.4806411266327,789.1307158470154,994.5924129486084,OPTIMAL,3.332435987802621e-8
3,3.15182010077629,204.14823293685913,976.893837928772,1189.5819931030273,OPTIMAL,3.735190219547464e-8
4,3.151819244512239,211.60799098014832,1238.6472971439362,1459.9404158592224,OPTIMAL,1.30660270733205e-8
