beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,2.215213503638708,37.49681091308594,37.92148280143738,76.82933902740479,OPTIMAL,1.0824624656415274e-7
1,2.215212566035923,39.96671509742737,84.01402616500854,125.7594530582428,OPTIMAL,8.922487593532741e-8
2,2.2152111561151413,37.599900007247925,109.08387398719788,149.7906129360199,OPTIMAL,5.9580866102316597e-8
3,2.2152130883760575,38.75389814376831,138.19567894935608,180.4396939277649,OPTIMAL,9.273549577622807e-8
4,2.2152114633358906,39.280746936798096,172.33102107048035,215.4196720123291,OPTIMAL,6.115598146486116e-8
