beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,3.8331666802503355,763.6100699901581,1005.2324619293213,1819.7149238586426,OPTIMAL,3.6686918677160947e-6
1,3.833131978521566,666.6911869049072,1275.533371925354,2028.1062071323395,OPTIMAL,4.75266248664391e-6
2,3.833266378839827,668.9882819652557,1333.8125369548798,2090.6884710788727,OPTIMAL,1.0543690120045387e-6
3,3.833230923691208,675.940899848938,1369.1517639160156,2130.7739219665527,OPTIMAL,2.768934331558802e-6
4,3.833178177644362,701.9045231342316,1463.6147730350494,2274.255455970764,OPTIMAL,4.807381970006426e-6
