beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,1.000548757611206,0.4944949150085449,2.1222710609436035,2.765125036239624,OPTIMAL,1.3472150000538122e-6
1,1.0005462354810946,0.5281980037689209,2.516071081161499,3.1582210063934326,OPTIMAL,9.597931031777882e-7
2,1.0005530432499596,0.562204122543335,2.904031991958618,3.5992591381073,OPTIMAL,3.2733888494961e-6
3,1.0005516802586618,0.5532510280609131,2.9116079807281494,3.650557041168213,OPTIMAL,2.7693498178089627e-6
4,1.0005370463419014,0.6158850193023682,4.589215040206909,5.4042441844940186,OPTIMAL,1.3058640520687605e-6
