beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,3.4243981818486944,290.5340859889984,606.4975271224976,917.034019947052,OPTIMAL,3.508543146219551e-6
1,3.424405033677886,294.49234080314636,695.141263961792,1011.1201570034027,OPTIMAL,2.9648659094949066e-6
2,3.424393789732256,300.0903959274292,711.9331710338593,1036.8988258838654,OPTIMAL,5.574354847650064e-6
3,3.424416545800008,299.2618989944458,809.6932208538055,1131.0475919246674,OPTIMAL,1.7448458554239885e-6
4,3.424418376149088,318.9573938846588,847.106950044632,1190.4931981563568,OPTIMAL,1.8418068476293072e-6
