t,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
1,1.9488930558559474,2.0024490356445312,13.880380868911743,16.111407995224,OPTIMAL,2.09628282046893e-6
2,1.9826361129852619,5.2025110721588135,59.48308086395264,65.30609798431396,OPTIMAL,2.3819025250215576e-6
3,2.033164726869398,11.924635887145996,106.00391697883606,119.79204201698303,OPTIMAL,9.957796519752522e-7
4,2.1136414151302962,24.47303009033203,142.82604885101318,169.99036693572998,OPTIMAL,1.110233632124818e-6
5,2.2152619943499596,38.47460913658142,188.50851678848267,231.46549105644226,OPTIMAL,3.4555049126683863e-6
6,2.3402557194648534,57.25185203552246,221.52362203598022,283.789048910141,OPTIMAL,3.6314425148893866e-6
7,2.500081912676372,78.0397469997406,276.0840961933136,360.89808797836304,OPTIMAL,3.3270592173513836e-6
8,2.6826470269813303,103.33781385421753,320.7251648902893,432.55221486091614,OPTIMAL,2.7079243978667305e-6
9,2.8632844868289626,137.61229515075684,380.7228059768677,529.9822430610657,OPTIMAL,1.588230350997356e-6
10,3.0224111580050876,161.2490701675415,407.9582350254059,583.613795042038,OPTIMAL,4.7436080613654084e-6
11,3.1518156671642057,194.73760318756104,452.1056649684906,662.7148168087006,OPTIMAL,1.9580956984238475e-6
12,3.332532696614649,250.6174190044403,568.928957939148,837.5540339946747,OPTIMAL,1.8993819854508227e-6
13,3.4243870504825966,296.64543986320496,552.4458038806915,870.3344130516052,OPTIMAL,4.9351308455790685e-6
14,3.5867769785635732,353.26138496398926,652.1585819721222,1034.1669828891754,OPTIMAL,5.272590169778792e-6
15,3.853866249677887,423.21693205833435,613.2695639133453,1064.244801044464,OPTIMAL,5.507370947651272e-6
16,3.904402659715645,455.31078910827637,814.1692728996277,1303.1530389785767,OPTIMAL,1.251683633605363e-6
17,3.8646367909270634,532.1574969291687,715.1071240901947,1285.3724200725555,OPTIMAL,5.450407180692961e-6
18,3.8092300265969548,498.3198869228363,778.5788149833679,1315.9575819969177,OPTIMAL,1.852931539429723e-6
19,3.809856064806053,542.3266890048981,893.3826079368591,1498.328222990036,OPTIMAL,3.5932821687285907e-6
20,3.8332486958301204,649.1772620677948,1017.4145488739014,1775.4682312011719,OPTIMAL,1.752952128544936e-6
21,3.893892478308889,740.6308608055115,1060.064759016037,1920.9971981048584,OPTIMAL,5.239577672466398e-6
22,3.961917470368241,812.4280481338501,1019.1329429149628,1956.8998010158539,OPTIMAL,4.181093249318277e-6
23,4.1831002622965405,912.9387798309326,1125.6820940971375,2173.978842020035,OPTIMAL,4.7772116996071074e-6
24,4.874273636619622,1073.6505570411682,1160.9003789424896,2385.9101028442383,OPTIMAL,9.715146010884804e-6
25,6.389005739289542,1130.0242500305176,1151.4842638969421,2444.214380979538,OPTIMAL,8.85700637841758e-6
