t,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_sects,neg_total_sects,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
1,-3.5948767701521334e-7,1.4606824527557345,0.6919341087341309,0.6574649810791016,17.688026189804077,41.74236512184143,18.538877964019775,42.55739688873291,OPTIMAL,OPTIMAL,-0.0015839210143363744,2.4159967086362875e-6
2,-4.589858199413599e-8,1.666980624913673,2.7868340015411377,2.9743409156799316,66.54442596435547,93.93087196350098,69.78029704093933,97.34016704559326,OPTIMAL,OPTIMAL,-0.0011085566655844948,4.671255107017531e-6
3,-1.7437121191399285e-11,1.9249764046586328,6.895220994949341,7.6528639793396,91.56693196296692,118.35941791534424,99.50097417831421,127.26747107505798,OPTIMAL,OPTIMAL,-0.0007834597609255097,3.6921558621308414e-6
4,-1.7575505113776035e-9,2.2355823514162623,10.953789949417114,11.580342054367065,118.07065081596375,160.42871689796448,130.91865491867065,173.95143795013428,OPTIMAL,OPTIMAL,-0.0006630511648828772,2.525221939599048e-6
5,-1.6258661084123105e-12,2.6666013546028378,17.98487615585327,18.30094885826111,151.9404788017273,194.37764692306519,172.52973699569702,215.54104590415955,OPTIMAL,OPTIMAL,-0.0005289837935998249,2.9751751392684455e-6
6,-7.516834377163661e-13,3.2017070002876875,27.073551893234253,27.017986059188843,178.98283886909485,240.43004202842712,209.55540680885315,270.96421098709106,OPTIMAL,OPTIMAL,-0.0005213045175898084,7.241559929224369e-6
7,-7.490535969267853e-15,3.882617343223701,38.479437828063965,37.52455496788025,205.62741804122925,265.7230911254883,248.44390416145325,307.736389875412,OPTIMAL,OPTIMAL,-0.0005293437682291301,4.868048299091853e-6
8,-8.982398158607907e-15,4.763203141833697,50.795310974121094,50.52168083190918,242.51680493354797,321.3908689022064,298.82969188690186,377.6133871078491,OPTIMAL,OPTIMAL,-0.0004707638878557284,5.864349797548549e-6
