beta,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
0,1196.5589599610087,1274.2110595710244,1.216284990310669,1.353348970413208,4.220983982086182,4.387618064880371,5.509393930435181,5.817608118057251,OPTIMAL,OPTIMAL,6.325255548544074e-13,2.0656655670457086e-13
1,1196.5589576971352,1274.211059322688,1.5825870037078857,1.8458619117736816,5.753022909164429,6.521740913391113,7.46208381652832,8.479156970977783,SLOW_PROGRESS,SLOW_PROGRESS,1.224483725959565e-11,2.0831547234574778e-12
2,987.532118484519,1166.7673429639349,1.4063611030578613,1.538633108139038,13.033972024917603,11.170645952224731,14.627397060394287,12.86042594909668,OPTIMAL,SLOW_PROGRESS,-4.0430562283224546e-11,9.775658988936606e-11
3,741.6412118592193,980.3182035012945,1.421734094619751,1.6114649772644043,18.307805061340332,14.652750968933105,19.973447799682617,16.593549013137817,OPTIMAL,SLOW_PROGRESS,-7.007493823391912e-11,1.876666970046112e-10
4,578.086493179969,827.0370048646059,1.2879230976104736,2.044139862060547,24.41856598854065,21.655203104019165,26.163789987564087,23.965347051620483,SLOW_PROGRESS,OPTIMAL,2.1489926821248783e-10,6.525416690009026e-10
5,466.58323066210534,706.893534490872,1.221445083618164,1.2780120372772217,26.940513849258423,22.91629409790039,28.893035173416138,25.015070915222168,OPTIMAL,SLOW_PROGRESS,1.0509910384665906e-9,3.384431122642881e-10
6,419.16247684615223,637.8819520696275,1.24406099319458,1.6895110607147217,23.743831157684326,27.169340133666992,25.346237182617188,29.252333164215088,SLOW_PROGRESS,SLOW_PROGRESS,4.1070453035247903e-10,1.262110544354353e-10
7,375.8449141726952,586.5667729215619,1.988779067993164,1.5007109642028809,37.772244930267334,29.393569946289062,40.77803421020508,31.647186994552612,OPTIMAL,SLOW_PROGRESS,2.679592724990849e-10,5.004912152887462e-10
8,347.59576738889103,552.7734677609285,1.4700250625610352,1.5008940696716309,36.1030478477478,38.700477838516235,38.59402394294739,41.0882511138916,OPTIMAL,OPTIMAL,2.1220608419511686e-10,1.5049527511622644e-10
9,307.1654313414187,515.0278894562249,1.5076649188995361,1.6549570560455322,41.34058690071106,42.01944017410278,43.933448791503906,44.60533404350281,OPTIMAL,OPTIMAL,5.180273021807995e-10,3.4605172942575815e-10
10,287.5409139400684,473.0631453168147,1.5872559547424316,1.5400309562683105,44.63403296470642,43.468286991119385,47.34927797317505,46.22062087059021,OPTIMAL,OPTIMAL,2.2875806657155647e-10,7.938617570767534e-10
