beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,4.183223138014212,821.2475030422211,2559.5901160240173,3399.713225841522,OPTIMAL,1.5327299995194867e-8
1,4.183223266542842,972.3423068523407,4589.810880899429,5582.85174703598,OPTIMAL,2.145135895580831e-8
2,4.183223289879299,958.980544090271,6421.018406152725,7403.424391031265,OPTIMAL,1.1795984708130307e-8
3,4.183223321214089,1008.0072140693665,7121.317498922348,8153.701346158981,OPTIMAL,1.7078766334401032e-8
4,4.18322324579547,926.0480208396912,8141.7477560043335,9091.655790090561,OPTIMAL,1.8640534040635266e-8
