beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,4.87451170374462,789.0897741317749,2889.29425406456,3697.2118639945984,OPTIMAL,1.1601318222574346e-8
1,4.874511671429179,921.8172359466553,4176.038311004639,5120.915925979614,OPTIMAL,9.371849208138024e-9
2,4.874511567486221,934.5284249782562,5390.695462226868,6346.762252092361,OPTIMAL,2.3112063293492925e-8
3,4.874511725724494,978.1655600070953,8410.331165075302,9417.124388933182,OPTIMAL,1.7758241715022075e-8
4,4.874511702353452,1035.789108991623,10854.860955953598,11915.40183186531,TIME_LIMIT,8.450646813819739e-9
