beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,3.0224139236024268,169.28054785728455,448.3634970188141,630.7048079967499,OPTIMAL,1.9893550204240847e-6
1,3.0224127175535327,169.2116780281067,548.752406835556,731.5141408443451,OPTIMAL,2.2040698825804264e-6
2,3.022414644727335,168.8875629901886,562.0612781047821,746.0592739582062,OPTIMAL,7.148606237983626e-7
3,3.022411099263994,171.569837808609,583.2580559253693,769.744246006012,OPTIMAL,3.2593751702698325e-6
4,3.0224132991101893,169.72686004638672,628.1185209751129,813.106024980545,OPTIMAL,2.619925342226147e-6
