beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,2.113655706511472,23.3800528049469,837.9408700466156,864.6204519271851,OPTIMAL,1.9203164045324782e-6
1,2.1136491184129635,24.252515077590942,856.7715048789978,884.0589311122894,OPTIMAL,1.5230095038503293e-6
2,2.113655771313181,23.556297063827515,938.3873500823975,965.1268391609192,OPTIMAL,1.8329862245332753e-6
3,2.1136867665665653,24.296438932418823,974.7850871086121,1002.3834068775177,OPTIMAL,3.3442707349240446e-6
4,2.1136404552743207,24.777766942977905,919.2838780879974,947.4398481845856,OPTIMAL,1.1713761808340688e-6
