beta,obj_val,setup_secs,solve_secs,total_secs,term_status,eigmax
0,2.500085606015326,75.51827692985535,1688.9247410297394,1771.5347459316254,OPTIMAL,3.955027853054069e-6
1,2.500078800824349,81.98991203308105,1833.3314368724823,1923.1852440834045,OPTIMAL,3.356751179732493e-6
2,2.500066484479077,83.1213219165802,1962.8788690567017,2053.6809680461884,OPTIMAL,9.790142119687042e-7
3,2.5000826481705523,80.09032797813416,1957.4090762138367,2045.3817529678345,OPTIMAL,3.570028771707696e-6
4,2.500077035972144,78.52262377738953,2044.845545053482,2132.3768589496613,OPTIMAL,2.9295766131258365e-6
