beta,pos_val,neg_val,pos_setup_secs,neg_setup_secs,pos_solve_secs,neg_solve_secs,pos_total_secs,neg_total_secs,pos_term_status,neg_term_status,pos_eigmax,neg_eigmax
0,1.9488208502122824,-1.7547907174848012,19.61906886100769,1.0719678401947021,1.044076919555664,1.0068860054016113,35.52188801765442,2.2715201377868652,OPTIMAL,OPTIMAL,1.1125337051983163e-7,5.84254077162015e-8
1,1.9488214974082347,-1.7547890751564523,3.077882766723633,1.1509289741516113,1.3576340675354004,1.4639627933502197,4.682321071624756,2.921004056930542,OPTIMAL,OPTIMAL,1.1428717229073991e-7,9.15305786348376e-8
2,1.948818591740857,-1.7547894797710257,1.4887938499450684,1.126495122909546,2.074349880218506,2.235276937484741,3.8882617950439453,3.6332359313964844,OPTIMAL,OPTIMAL,5.910151642485043e-8,7.399103880885407e-8
3,1.9488195776664834,-1.7547888929907016,1.488219976425171,0.9700779914855957,2.7589900493621826,2.8172008991241455,4.544312000274658,4.133899927139282,OPTIMAL,OPTIMAL,7.53205806274237e-8,8.585159416050526e-8
4,1.9488187980799758,-1.7547905402151183,1.502338171005249,1.1285579204559326,3.2194271087646484,3.365056037902832,5.099760055541992,4.822238922119141,OPTIMAL,OPTIMAL,5.751398460311749e-8,4.995771490646559e-8
5,1.9488169400860251,-1.754789862375749,1.3953478336334229,1.1798958778381348,4.296827077865601,4.298678159713745,6.359806060791016,6.121423959732056,OPTIMAL,OPTIMAL,2.736192240451951e-8,6.411596566834007e-8
6,1.9488190366162488,-1.7547915070483153,1.1833610534667969,1.237898826599121,5.0031139850616455,5.391953945159912,6.93035101890564,7.3250908851623535,OPTIMAL,OPTIMAL,6.577075402719732e-8,3.6941302099200465e-8
7,1.9488218536689197,-1.7547914332652863,1.2151739597320557,1.2983818054199219,5.547377109527588,5.73999810218811,7.534250974655151,7.916080951690674,OPTIMAL,OPTIMAL,1.152008412196632e-7,3.765183713565609e-8
8,1.948819805630942,-1.7547919558453182,1.5206489562988281,1.3658249378204346,7.855722904205322,6.791765928268433,10.386395931243896,9.05778694152832,OPTIMAL,OPTIMAL,8.326129419338963e-8,2.903723938297323e-8
9,1.9488177182907447,-1.7547897940741315,1.4200389385223389,1.5249521732330322,8.435957908630371,8.864037036895752,10.884099006652832,11.462737083435059,OPTIMAL,OPTIMAL,4.826186708193406e-8,7.003587069237207e-8
10,1.9488196756282499,-1.7547879012590057,1.4359970092773438,1.3872900009155273,7.821744918823242,9.335532903671265,10.285611867904663,11.658045053482056,OPTIMAL,OPTIMAL,7.98608962832962e-8,1.0115926515857294e-7
