beta,setup_secs,solve_secs,total_secs,obj_val,term_status,eigmax
0,20.364354133605957,23.59145498275757,46.88449501991272,0.005038875118083116,OPTIMAL,1.5642474660690948e-6
1,19.088151216506958,28.397068977355957,50.38249611854553,0.005017303481549044,OPTIMAL,3.36767044466138e-6
2,20.71632194519043,29.758363008499146,54.114306926727295,0.005006561715357321,OPTIMAL,3.381515530082228e-6
3,20.24394679069519,33.941624879837036,57.25212597846985,0.005000628176659844,OPTIMAL,1.8830944227895185e-6
4,21.080188035964966,40.31889986991882,65.01573395729065,0.004993826683430796,OPTIMAL,6.604631636801975e-7
5,21.09692120552063,41.991021156311035,66.52138805389404,0.004994190764341099,OPTIMAL,2.365216693084449e-6
6,20.684558868408203,45.396000146865845,69.67258310317993,0.004987750514200541,OPTIMAL,3.182276677248902e-6
7,19.557074785232544,62.379165172576904,85.81383681297302,0.004983595263856181,OPTIMAL,1.7738382097246382e-6
