beta,setup_secs,solve_secs,total_secs,obj_val,term_status,eigmax
0,11.924673795700073,15.54318904876709,30.15288805961609,0.01482838923596741,OPTIMAL,8.705616192407259e-7
1,12.784993171691895,19.882256031036377,35.47308397293091,0.014799481176426765,OPTIMAL,7.704645324551705e-7
2,13.603224039077759,17.86151385307312,34.58393692970276,0.014785252160282258,OPTIMAL,3.919678847185522e-7
3,13.552474975585938,19.006115913391113,35.32071495056152,0.014776648797776293,OPTIMAL,3.9748588215908177e-7
4,14.711577892303467,20.27385401725769,37.96904802322388,0.014788565216461935,OPTIMAL,1.7996211732926217e-6
5,14.180982112884521,35.09035682678223,52.46987795829773,0.014785181439526729,OPTIMAL,1.1856415741207352e-6
6,14.071051836013794,22.836015939712524,40.13501214981079,0.014791177542186174,OPTIMAL,2.073240694022084e-6
7,14.210670232772827,47.33939599990845,64.95097613334656,0.014772864947243614,OPTIMAL,4.782139185893501e-7
