beta,setup_secs,solve_secs,total_secs,obj_val,term_status,eigmax
0,44.795170068740845,187.75218892097473,238.7833890914917,0.0006665321077132108,OPTIMAL,9.85532943043509e-7
1,45.9941189289093,220.1597969532013,272.7169690132141,0.0006604490181964795,OPTIMAL,2.1300839047108616e-6
2,44.836782932281494,229.90203714370728,281.49921584129333,0.000659066843059497,OPTIMAL,1.435388456084969e-6
3,43.044830083847046,258.2894067764282,308.59210085868835,0.0006583728053456694,OPTIMAL,1.6666190104097746e-6
4,43.714460134506226,288.39178800582886,339.6174809932709,0.0006570033059201952,OPTIMAL,1.2499347754857303e-6
5,50.77643394470215,298.7489740848541,357.33153104782104,0.0006571620655527466,OPTIMAL,1.8362753133641005e-6
6,48.71750497817993,331.27823185920715,387.8818929195404,0.0006557016962813328,OPTIMAL,7.756653010508337e-7
7,50.33250594139099,396.7161531448364,454.9684519767761,0.0006556130076445926,OPTIMAL,1.1644701681481861e-6
