beta,setup_secs,solve_secs,total_secs,obj_val,term_status,eigmax
0,133.60808992385864,249.93624711036682,386.72525215148926,0.3813012083186995,OPTIMAL,5.159736066170504e-7
1,138.06499910354614,401.1381289958954,542.7007741928101,0.3813792292284738,OPTIMAL,6.145617635460703e-7
2,136.209627866745,595.0924549102783,735.4232189655304,0.3809539732912462,OPTIMAL,1.6861203041764863e-7
3,144.39495301246643,726.2508940696716,874.9397640228271,0.3809712142692425,OPTIMAL,4.2407190078905695e-7
4,144.16865491867065,929.7577531337738,1079.9282071590424,0.3808904535250465,OPTIMAL,2.2562732476421546e-7
5,145.04129719734192,1161.324089050293,1312.9819610118866,0.3808210115368524,OPTIMAL,5.220147508450216e-7
6,151.62832498550415,1492.000727891922,1650.2713022232056,0.38073493818234344,OPTIMAL,2.5727727307906586e-7
7,151.18169379234314,1748.2005078792572,1907.3279330730438,0.3806080885876131,OPTIMAL,2.1339314212016644e-7
