beta,setup_secs,solve_secs,total_secs,obj_val,term_status,eigmax
0,62.04744791984558,43.041301012039185,113.2117087841034,0.01994447244406139,OPTIMAL,1.6992393049360227e-6
1,61.94218397140503,49.57025480270386,121.17213106155396,0.01994432035460164,OPTIMAL,3.2846005860095716e-6
2,63.0355429649353,56.223098039627075,127.87111282348633,0.019953354250527328,OPTIMAL,4.045178487008971e-6
3,65.16610097885132,61.315731048583984,135.89024591445923,0.019919189423910633,OPTIMAL,1.269470082945107e-6
4,67.70755100250244,67.2521960735321,144.49493193626404,0.01994038667643727,OPTIMAL,3.6888823923838855e-6
5,66.21684694290161,70.27439904212952,146.28284788131714,0.019932337135765588,OPTIMAL,2.2770281581117e-6
6,69.83041501045227,80.16238903999329,160.0061559677124,0.019935890527450872,OPTIMAL,3.578779211298366e-6
7,70.14304995536804,114.34184408187866,194.6123309135437,0.019909785202276126,OPTIMAL,9.64298428879194e-7
