beta,setup_secs,solve_secs,total_secs,obj_val,term_status,eigmax
0,44.248188972473145,61.52110695838928,107.1037209033966,0.0007244464540997169,OPTIMAL,6.324456876176769e-7
1,47.18381214141846,100.62054181098938,149.0903778076172,0.000719594476406997,OPTIMAL,6.155854306530231e-7
2,46.414844036102295,133.5169379711151,181.7864761352539,0.0007203365083601967,OPTIMAL,7.315080416738926e-7
3,46.57310199737549,181.4199149608612,230.70129299163818,0.0007219668787993915,OPTIMAL,7.576409713946416e-7
4,49.76527786254883,242.5702919960022,295.1043539047241,0.0007135486613393348,OPTIMAL,6.489381761912082e-7
5,50.33350086212158,282.2220461368561,336.20611476898193,0.0007156584360792122,OPTIMAL,7.278922249810533e-7
6,51.1604790687561,355.02376103401184,410.0763761997223,0.0007092409864936944,OPTIMAL,6.165664619034341e-7
7,51.99482607841492,441.1235840320587,497.0795028209686,0.0006999393734366668,OPTIMAL,4.7610704403486273e-7
